"Name";"Year";"UniversityScore";"Productivity";"Popularity"
"John Whittaker";1945;0;1.09749872383869;31.9356229244403
"Louis Bontes";1956;20;0.204185809086269;26.0006826650184
"Guy Maurice Marie Louise Verhofstadt";1953;13.3;0;14.7580155237166
"Ashley Fox";1969;0;20.3675344563553;43.4363950648378
"Milan Zver";1962;9.4;23.8897396630934;62.727103101398
"Ivars Godmanis";1951;0;0.280755487493619;39.4373937201127
"Krisztina Morvai";1963;21;26.0336906584992;36.8549614323458
"Marina Yannakoudakis";1956;0;6.38080653394589;20.5132726346732
"Godelieve Quisthoudt-Rowohl";1947;0;3.21592649310873;41.7742999402514
"Daniel Hannan";1971;0;39.8162327718224;69.2510848801943
"Colm Burke";1957;0;2.24604389994895;11.4223502897671
"Paolo Cirino Pomicino";1939;0;0.0255232261357836;43.1661478809672
"Carl Schlyter";1968;0;8.8565594691169;56.2712892443043
"Nessa Childers";1956;13.3;15.3905053598775;61.2631191987616
"Jean Lambert";1950;16.3;25.4977029096478;27.9045804179796
"Christofer Fjellner";1976;27.4;12.4808575803982;63.5099783023991
"Roger Helmer";1944;0;12.3277182235835;38.3752672739943
"Roger Maurice Knapman";1944;0;0;7.79696706338383
"Joe Higgins";1949;0;1.45482388973966;62.7219539280822
"Paolo Costa";1943;0;1.76110260336907;24.1386558610565
"Poul Nyrup Rasmussen";1943;18.8;1.19959162838183;40.2397417776769
"Jim Higgins";1945;0;10.490045941807;27.1722710312333
"Richard Ashworth";1947;0;8.95865237366003;23.1230541095401
"Bashir Khanbhai";1945;0;0.944359367023992;26.6936331618966
"Malcolm Harbour";1947;0;8.39714139867279;0
"Indrek Tarand";1964;33.6;10.6431852986217;27.6206583468722
"Helle Thorning-Schmidt";1966;18.8;1.19959162838183;86.5039642288286
"Avril Doyle";1949;0;12.0724859622256;26.1803658134837
"Alexandru Athanasiu";1955;0;0.0510464522715671;40.8491083957122
"Pier Luigi Bersani";1951;0;0.127616130678918;64.8821730701639
"Robert Goodwill";1956;0;1.35273098519653;31.445973252631
"Vincent Peillon";1960;0;4.05819295558959;60.3947028210549
"Tanja Fajon";1971;0;9.72434915773354;64.4239337590993
"Brian Crowley";1964;0;9.13731495661052;25.8163319035799
"Ivaylo Kalfin";1964;0;0;30.6416676429181
"Antonio Tajani";1953;13.3;38.43797856049;50.9034522636233
"Andrew Duff";1950;0;6.50842266462481;38.807398443285
"Gay Mitchell";1951;0;7.04441041347626;37.312998110817
"Robert Fico";1964;0;0.0255232261357836;54.500455763323
"Pierre Moscovici";1957;0;6.30423685553854;73.5727978365343
"Syed Kamall";1967;13.3;27.6416539050536;25.0269518625013
"Giorgio Napolitano";1925;0;1.48034711587545;75.3151176459177
"Borut Pahor";1963;0;0.510464522715671;74.8016930598439
"Nigel Farage";1964;0;21.8989280245023;89.3746683145374
"Pascal Canfin";1974;0;0.663603879530373;65.6266595847803
"Boris Zala";1954;0;6.96784073506891;23.3909011901515
"Rolandas Paksas";1956;0;80.3981623277182;62.8596868803102
"Paulo Portas";1962;0;0.127616130678918;77.6768169903421
"Proinsias De Rossa";1940;0;14.7779479326187;13.8103291734361
"Kathy Sinnott";1950;0;6.27871362940276;38.807398443285
"Pat Cox";1952;13.3;26.9525267993874;34.379705699248
"Gerard Collins";1938;0;2.83307810107198;4.91933850790553
"Emma Bonino";1948;0;1.04645227156713;76.0200274927516
"Toomas Hendrik Ilves";1953;33.8;0.204185809086269;81.6849136056177
"Matteo Salvini";1973;0;38.8973966309342;100
"Robert Sturdy";1944;22.4;2.22052067381317;20.8969933956744
"Rachida Dati";1965;0;100;75.4933331073888
"Robert Kilroy-Silk";1942;0;0.178662582950485;33.5507690006162
"Kristian Vigenin";1975;0;3.24144971924451;64.7510325945273
"Enrico Letta";1966;23.1;0.178662582950485;78.7341720499725
"Rovana Plumb";1960;0;7.81010719754977;69.498007717553
"Richard Seeber";1962;9.4;7.40173557937723;9.83867701581106
"Wolf Klinz";1941;0;2.67993874425727;19.6773540316221
"Jerzy Buzek";1940;0;68.2235834609495;77.9641397345916
"Nick Griffin";1959;0;1.65900969882593;56.2712892443043
"Mart Laar";1960;0;0.0255232261357836;61.2059507634226
"Camiel Eurlings";1973;0;0.867789688616641;39.0719174557136
"Ioannis Varvitsiotis";1933;18.8;1.4037774374681;11.4223502897671
"Anna Maria Corazza Bildt";1963;65.9;17.9938744257274;49.8166872714367
"Antoni Macierewicz";1948;0;0.0255232261357836;65.8879404706832
