"Nobel";"Country";"Year";"UniversityScore";"Popularity";"Productivity"
"yes";"usa";1918;0;37.4596406541795;42.49547920434
"no";"peru";1954;66.7;33.6010958041828;26.7379679144385
"no";"france";1892;0;45.5324000731961;83.4224598930481
"no";"united states";1861;0;6.58939553827474;2.31729055258467
"no";"bangladesh";1933;16.3;0;30.8377896613191
"no";"united states";1892;54.2;0;45.9893048128342
"no";"austria";1924;65.9;4.15744570314854;21.0338680926916
"no";"united states";1941;89.7;17.336236779698;37.4331550802139
"no";"austria";1898;0;11.6714256579213;0.17825311942959
"no";"india";1947;0;33.5343278460816;52.9411764705882
"no";"india";1973;93.4;35.845712289123;13.0124777183601
"no";"canada";1942;0;4.15744570314854;82.3529411764706
"no";"united kingdom";1924;36.2;11.6714256579213;3.03030303030303
"yes";"norway";1929;0;29.7246854405834;25.668449197861
"no";"germany";1921;0;0;31.3725490196078
"no";"united states";1951;54.9;9.65328998110935;20.3208556149733
"no";"united states";1943;86.3;37.1535870001005;25.8467023172906
"yes";"canada";1915;89.6;14.9042869445718;64.1711229946524
"no";"united states";1960;80.7;30.0932746811571;24.777183600713
"no";"united states";1902;25.3;47.5345106638929;0.294117647058824
"no";"united states";1928;65.9;0;0.53475935828877
"no";"italy";1937;0;34.2108669067905;97.1479500891266
"yes";"german-occupied poland";1943;0;47.3545257028531;16.4556962025316
"yes";"new zealand";1916;36.2;0;1.08499095840868
"no";"scotland";1934;0;0;22.4598930481283
"no";"united states";1886;80.7;0;2.85204991087344
"no";"greece";1951;79.4;41.7533406267838;56.6844919786096
"yes";"austria-hungary";1906;0;29.1021199220398;14.2602495543672
"no";"russia";1869;33;4.15744570314854;0.35650623885918
"no";"united states";1858;0;0;9.26916221033868
"no";"argentina";1962;0;24.2499235263273;24.5989304812834
"no";"sweden";1965;15.4;19.7681866148242;33.5115864527629
"no";"israel";1968;0;13.1787910765495;20.1426024955437
"no";"bangladesh";1893;0;17.336236779698;3.74331550802139
"no";"united states";1882;33.6;6.58939553827474;3.20855614973262
"no";"france";1926;0;15.3843772059459;40.6417112299465
"no";"united states";1866;0;8.31489140629709;6.59536541889483
"no";"united states";1910;33.6;0;18.8948306595365
"no";"germany";1951;0;48.0255998763005;93.048128342246
"no";"netherlands";1954;54.7;32.8222761872054;90.017825311943
"no";"germany";1863;0;0;3.5650623885918
"no";"india";1887;0;16.9934048261356;17.2905525846702
"no";"turkey";1918;65.9;13.8107356842579;13.1907308377897
"no";"china";1964;40;14.9042869445718;1.06951871657754
"no";"united states";1934;43.2;0;38.1461675579323
"no";"iran";1944;0;6.58939553827474;31.5508021390374
"no";"united states";1931;0;0;0
"no";"united states";1954;73.7;9.65328998110935;26.0249554367201
"no";"germany";1950;0;25.9754193943496;34.9376114081996
"no";"united states";1921;0;14.3823991182398;0.53475935828877
"no";"united states";1969;0;32.9469776913737;12.2994652406417
"no";"united states";1933;72.7666666666667;16.2426855193841;49.9108734402852
"no";"iran";1951;80.7;21.6580195106868;2.85204991087344
"yes";"usa";1882;100;25.4821613421792;21.2121212121212
"no";"united states";1913;79.4;10.7468412414233;25.8467023172906
"no";"united states";1945;60.75;26.7168467917312;21.9251336898396
"no";"poland";1963;80.7;18.5398448213884;30.1247771836007
"no";"france";1865;100;6.58939553827474;32.2638146167558
"no";"united states";1946;0;0;0
"no";"germany";1903;0;10.7468412414233;14.0819964349376
"yes";"france";1871;0;29.8500821952798;4.45632798573975
"no";"india";1924;0;0;0
"no";"china";1919;66.7;22.5594010885826;17.1122994652406
"no";"new zealand";1952;28.2;0;1.06951871657754
"no";"norway";1875;24.45;4.15744570314854;10.3386809269162
"no";"india";1951;0;11.6714256579213;19.6078431372549
"no";"united states";1859;0;8.31489140629709;8.37789661319073
"no";"italy";1950;0;43.5942660034118;0.199643493761141
"no";"united states";1971;65.25;25.4821613421792;68.270944741533
"no";"united kingdom";1897;0;12.4723371094456;7.48663101604278
"yes";"usa";1904;0;20.5968021631723;3.5650623885918
"no";"northern ireland";1940;0;29.9729109169839;44.9197860962567
"no";"germany";1935;89.6;0;0.53475935828877
"no";"united states";1945;75.2;45.1414664330617;8.19964349376114
"no";"south korea";1944;100;0;31.0160427807487
"no";"united states";1933;80.7;23.5828003644103;10.6951871657754
"no";"united states";1970;16.3;25.3082962324327;48.3065953654189
"no";"russia";1944;0;0;1.24777183600713
"no";"warwickshire";1867;0;0;1.24777183600713
"no";"united states";1917;100;6.58939553827474;13.0124777183601
"no";"united states";1859;0;13.1787910765495;5.16934046345811
"no";"greece";1937;79.4;13.1787910765495;81.9964349376114
"no";"united states";1886;86.3;6.58939553827474;11.4081996434938
"no";"united states";1958;47.1;31.3113094917962;18.1818181818182
"no";"ukraine";1954;33;0;10.873440285205
"no";"germany";1924;28.2;0;29.9465240641711
"no";"united states";1948;20;0;75.5793226381462
"no";"germany";1924;13.3;4.15744570314854;37.6114081996435
"no";"united states";1927;89.6;28.9598699433281;0.71301247771836
"yes";"usa";1928;100;28.3545237219971;5.16934046345811
"no";"poland";1860;28.8;0;1.24777183600713
"no";"mexico";1964;0;15.8288713610698;6.06060606060606
"no";"germany";1876;0;0;17.4688057040998
"no";"united states";1896;0;0;11.5864527629234
"no";"united states";1919;55.65;0;23.3511586452763
"no";"united states";1932;86.3;29.055077121681;16.7557932263815
"no";"united states";1904;50.4;24.5575769256812;85.3832442067736
"no";"greece";1955;18.8;0;62.6334519572954
"no";"united kingdom";1890;96.6;37.4636880331545;0.274509803921569
"no";"united states";1922;86.3;22.0262390408765;44.8398576512456
"no";"canada";1971;58.6;43.7307293649642;52.2281639928699
"no";"united kingdom";1960;50.4;21.1508505292841;26.5597147950089
"no";"poland";1894;18.8;0;0.53475935828877
"no";"russia";1937;0;22.6972905245369;11.9429590017825
"no";"united kingdom";1964;0;30.5150278562475;0.955436720142603
"no";"armenia";1961;0;50.7791062229558;0.71301247771836
"no";"india";1935;0;0;0
"no";"united states";1968;0;0;45.632798573975
"yes";"india";1888;0;0;0.17825311942959
"no";"canada";1901;93.4;19.0617326477204;6.41711229946524
"no";"austria";1872;0;40.7802359613561;83.7789661319073
"no";"france";1951;0;52.9745841952537;39.3939393939394
"no";"italy";1915;0;0;17.2905525846702
"no";"united states";1936;49.8;12.4723371094456;0.89126559714795
"no";"canada";1972;13.3;14.9042869445718;23.7076648841355
"no";"poland";1906;31.9;33.5789222990821;60.7843137254902
"no";"poland";1947;0;18.260821196196;23.8859180035651
"no";"austria";1943;0;33.0205728024176;0.550802139037433
"no";"united states";1938;89.7;31.5652278859301;45.9893048128342
"no";"india";1971;31.6;16.6297828125942;41.5329768270945
"no";"egypt";1939;0;0;4.63458110516934
"no";"united kingdom";1951;56.45;28.4597531982448;42.4242424242424
"no";"united states";1853;25.3;9.65328998110935;6.23885918003565
"no";"united states";1918;0;4.15744570314854;8.73440285204991
"no";"united states";1941;93.4;0;13.0124777183601
"no";"lithuania";1890;0;0;8.19964349376114
"no";"united states";1956;100;0;53.475935828877
"no";"poland";1950;0;26.5757126024931;0.265597147950089
"no";"denmark";1973;22.1;15.3843772059459;22.6381461675579
"no";"france";1923;0;16.6297828125942;33.3333333333333
"yes";"hungary";1937;37.6;41.2284938638882;20.6148282097649
"no";"united states";1972;22.1;0;0.53475935828877
"no";"czech republic";1928;36.2;13.1787910765495;23.3511586452763
"no";"united states";1920;0;0;0.53475935828877
"no";"united states";1935;93.4;10.7468412414233;6.77361853832442
"no";"united states";1903;80.7;0;15.1515151515152
"no";"italy";1939;13.3;20.9110034689134;43.9501779359431
"no";"germany";1873;28.8;25.4821613421792;35.2941176470588
"no";"united states";1937;0;20.1967922141704;40.9982174688057
"no";"pakistan";1949;0;22.6972905245369;0.53475935828877
"no";"united states";1965;75.2;24.6567184605535;16.5775401069519
"no";"italy";1936;0;8.31489140629709;98.2174688057041
"no";"united states";1906;98.3;0;0.17825311942959
"no";"united states";1920;0;0;10.3386809269162
"no";"belgium";1949;13.3;17.9681813874064;83.7789661319073
"no";"scotland";1920;0;4.15744570314854;8.55614973262032
"no";"united states";1943;79.4;32.7461915352733;4.27807486631016
"no";"romania";1873;0;9.65328998110935;3.38680926916221
"no";"united states";1861;0;26.5757126024931;4.27807486631016
"yes";"usa";1948;0;0;58.5895117540687
"no";"united states";1980;100;0;15.8362989323843
"no";"united kingdom";1891;21;17.6605279880525;38.1461675579323
"no";"united states";1910;100;20.5968021631723;13.5472370766488
"no";"united states";1934;86.3;0;6.23885918003565
"no";"united states";1957;0;24.0356890993492;24.4206773618538
"yes";"united kingdom";1925;96.6;51.2641926629377;50.994575045208
"no";"italy";1912;0;26.1312184473692;13.903743315508
"no";"india";1898;0;0;0
"no";"russia";1945;33;4.15744570314854;99.1087344028521
"no";"romania";1901;0;0;20.3208556149733
"yes";"usa";1927;0;0;12.6582278481013
"no";"united states";1949;47.85;8.31489140629709;29.4117647058824
"no";"switzerland";1899;0;35.7226735890787;58.1105169340463
"no";"sweden";1971;27.4;23.3428513158426;12.2994652406417
"no";"scotland";1877;24.9;25.8154652138353;10.6951871657754
"no";"united states";1957;13.3;31.4396122727455;11.5864527629234
"no";"austria";1919;86.3;37.6917735492301;89.126559714795
"no";"united states";1939;54.9;13.8107356842579;28.3422459893048
"no";"united states";1942;24.9;56.8652921175756;1.69162210338681
"yes";"usa";1943;21.7;0;58.5895117540687
"no";"united states";1868;65.9;0;31.5508021390374
"no";"united states";1954;79.4;51.4620887610166;18.8948306595365
"no";"united states";1959;100;18.260821196196;18.716577540107
"no";"united states";1928;80.05;0;30.8377896613191
"no";"united kingdom";1952;0;14.9042869445718;13.3689839572193
"no";"united states";1933;48.9;0;17.6470588235294
"no";"united states";1911;61.05;6.58939553827474;9.80392156862745
"no";"united kingdom";1879;0;4.15744570314854;15.6862745098039
"no";"united kingdom";1929;21;54.2313602817029;50.8021390374332
"no";"canada";1892;100;28.7239133686103;57.6512455516014
"no";"australia";1955;0;18.5398448213884;15.8645276292335
"no";"czech republic";1882;0;15.0441579608847;35.4092526690391
"no";"taiwan";1942;13.3;8.31489140629709;85.0267379679144
"no";"scotland";1907;96.6;0;6.95187165775401
"no";"austria";1948;96.6;14.3823991182398;8.73440285204991
"yes";"usa";1936;49.8;38.8823990130196;32.368896925859
"no";"canada";1904;0;9.65328998110935;0.17825311942959
"no";"united states";1950;80.7;11.6714256579213;28.1639928698752
"yes";"new zealand";1927;33.8;0;53.1645569620253
"no";"canada";1923;0;0;22.2816399286988
"no";"united states";1962;0;11.6714256579213;64.7058823529412
"no";"pakistan";1937;0;20.5968021631723;2.31729055258467
"no";"somerset";1898;0;0;1.96078431372549
"no";"united states";1943;93.4;25.5672397374349;0.89126559714795
"no";"nigeria";1964;0;34.0487509218562;25.3119429590018
"no";"united states";1945;93.4;0;3.03030303030303
"no";"united states";1937;66.7;31.8088319780592;28.3422459893048
"no";"france";1906;0;48.0554949022965;72.192513368984
"no";"poland";1899;0;9.65328998110935;14.795008912656
"no";"india";1957;66.7;14.9042869445718;41.8894830659537
"no";"united states";1965;93.4;6.58939553827474;48.3065953654189
"no";"united states";1942;49.8;34.6961571504389;65.4804270462633
"no";"germany";1872;0;8.31489140629709;0.35650623885918
"yes";"germany";1955;89.6;0;81.9168173598553
"no";"austria";1906;0;0;47.9500891265597
"no";"poland";1921;31.9;4.15744570314854;1.96078431372549
"no";"ukraine";1918;0;0;0
"no";"united states";1932;63.25;28.8631270992691;22.1033868092692
"no";"india";1906;0;18.260821196196;76.4705882352941
"no";"england";1915;96.6;12.4723371094456;32.4420677361854
"no";"india";1948;0;29.376882142933;57.2192513368984
"no";"united states";1953;47.1;19.9863170642184;4.45632798573975
"no";"united states";1937;0;0;12.8342245989305
"no";"syria";1934;0;6.58939553827474;36.8983957219251
"yes";"usa";1893;65.9;0;8.67992766726944
"no";"germany";1876;0;0;32.0855614973262
"no";"united states";1967;31.9;0;3.74331550802139
"no";"united states";1868;0;0;0.228163992869875
"no";"united states";1930;65.9;28.5631682824954;67.2014260249554
"no";"germany";1903;0;37.2144801758987;7.84313725490196
"no";"united kingdom";1928;0;12.4723371094456;15.1515151515152
"no";"united kingdom";1926;54.9;48.0415624307618;1.04634581105169
"no";"united states";1923;49.8;0;62.9233511586453
"no";"italy";1934;23.1;0;25.4901960784314
"no";"germany";1856;13.3;38.9035143735885;55.0802139037433
"no";"india";1902;54.9;0;1.42602495543672
"no";"united states";1927;0;8.31489140629709;0.53475935828877
"no";"united states";1965;93.4;37.5100042965009;0.491978609625668
"no";"united kingdom";1922;0;0;26.3814616755793
"no";"russia";1936;33;0;6.77361853832442
"no";"united states";1950;16.3;12.4723371094456;10.3386809269162
"yes";"russian empire";1894;0;0;0.180831826401447
"no";"italy";1900;0;0;3.38680926916221
"no";"united states";1970;35.5;21.3247156390307;13.1907308377897
"no";"united states";1886;0;10.7468412414233;1.24777183600713
"no";"united states";1924;65.9;17.9681813874064;64.1711229946524
"no";"united states";1946;100;9.65328998110935;13.1907308377897
"no";"poland";1884;0;30.3269896885777;30.8377896613191
"no";"india";1950;0;0;46.1675579322638
"yes";"the netherlands";1858;20;0;2.89330922242315
"no";"united states";1960;0;23.4640256653672;7.30837789661319
"no";"germany";1927;0;0;66.8449197860963
"no";"united states";1899;0;15.8962841486186;32.2064056939502
"no";"united states";1905;48.9;12.4723371094456;6.41711229946524
"no";"austria";1921;0;0;16.0427807486631
"no";"canada";1943;100;6.58939553827474;0.53475935828877
"yes";"canada";1941;0;0;37.251356238698
"yes";"australia";1899;0;0;4.15913200723327
"no";"united states";1947;0;10.7468412414233;24.2424242424242
"no";"united kingdom";1901;0;27.970963984949;21.9251336898396
"no";"united states";1915;7.7;4.15744570314854;0.35650623885918
"no";"united states";1987;29;0;2.49554367201426
"no";"united kingdom";1947;36.2;11.6714256579213;64.8841354723708
"no";"united kingdom";1971;54.9;31.6882665859745;75.4010695187166
"no";"pakistan";1929;0;0;23.3511586452763
"yes";"the netherlands";1907;54.9;56.7634331283809;5.96745027124774
"no";"turkey";1948;65.9;0;50
"yes";"japan";1928;0;4.15744570314854;72.5490196078431
"no";"serbia";1859;0;0;6.41711229946524
"no";"united states";1973;78.5333333333333;16.658536998062;28.6476868327402
"no";"united kingdom";1914;36.2;0;12.8342245989305
"no";"hertfordshire";1851;54.9;0;3.74331550802139
"no";"netherlands";1923;9.4;0;0.17825311942959
"no";"united states";1968;16.3;6.58939553827474;7.66488413547237
"no";"canada";1923;71.2666666666667;12.9628613946042;14.2348754448399
"no";"netherlands";1926;0;0;2.13903743315508
"no";"united states";1958;100;0;0
"no";"switzerland";1965;0;17.336236779698;20.4991087344029
"no";"iran";1918;96.6;7.94814207430928;4.80427046263345
"no";"united kingdom";1942;100;0;7.1301247771836
"no";"united states";1943;33.8;11.6438176777672;32.3843416370107
"no";"germany";1892;0;0;52.9411764705882
"no";"spain";1955;79.4;0;82.2064056939502
"no";"germany";1898;0;15.8288713610698;0.35650623885918
"no";"united states";1925;79.4;0;0.53475935828877
"no";"united states";1958;93.4;22.4182668993446;0.71301247771836
"no";"switzerland";1925;0;10.7468412414233;50.445632798574
"no";"united states";1884;79.4;0;0.17825311942959
"no";"united states";1914;0;0;0.17825311942959
"no";"united states";1932;71.6;48.1305687412192;0.254901960784314
"no";"united states";1960;56.65;30.053421203642;34.5811051693405
"no";"czech republic";1924;0;0;17.6470588235294
"no";"italy";1944;0;0;0.71301247771836
"no";"france";1965;76.1;43.3553411908949;50.2673796791444
"no";"united states";1922;33.8;0;46.8805704099822
"yes";"united kingdom";1916;0;37.2384954628331;1.80831826401447
"no";"united states";1944;58.15;53.5660326873277;43.49376114082
"no";"united states";1889;0;15.8288713610698;1.24777183600713
"no";"united states";1926;31.7;0;4.63458110516934
"no";"united states";1948;44.4;10.7468412414233;0
"no";"egypt";1938;0;45.3103435083913;49.1978609625668
"no";"united states";1941;0;16.9934048261356;18.0035650623886
"no";"czech republic";1927;0;28.2474150489615;29.5900178253119
"no";"poland";1918;32.2;25.8959755004934;47.9500891265597
"no";"poland";1922;0;4.15744570314854;9.26916221033868
"yes";"usa";1959;0;0;12.1157323688969
"no";"denmark";1961;11.5;0;40.9982174688057
"no";"germany";1861;0;10.7468412414233;49.9108734402852
"no";"japan";1915;14.1;32.4318177696156;34.7593582887701
"no";"united kingdom";1912;93.4;42.3739039667533;10.1604278074866
"no";"united states";1953;86.3;13.1787910765495;3.38680926916221
"no";"sweden";1943;0;0;12.6334519572954
"no";"netherlands";1898;0;16.6297828125942;14.2602495543672
"no";"india";1929;90.35;0;42.602495543672
"no";"united states";1936;65.9;26.5757126024931;22.9946524064171
"no";"united states";1918;90.35;0;0.89126559714795
"no";"northamptonshire";1916;36.2;50.8718078481488;68.6274509803922
"no";"italy";1947;23.1;15.3843772059459;34.5811051693405
"no";"united states";1949;100;10.7468412414233;0.89126559714795
"yes";"usa";1931;33.8;26.9225101273066;3.03030303030303
"yes";"usa";1944;0;0;80.1084990958409
"no";"netherlands";1894;9.4;0;2.49554367201426
"no";"italy";1933;18.2;17.9681813874064;28.1639928698752
"no";"united states";1895;86.3;13.1787910765495;3.38680926916221
"no";"germany";1946;79.4;29.241074236168;84.4919786096257
"no";"united states";1889;10.9;0;5.88235294117647
"no";"croatia";1935;0;0;23.7076648841355
"no";"iran";1948;0;6.58939553827474;22.9946524064171
"no";"norway";1956;32.6;13.8107356842579;42.0677361853832
"no";"japan";1933;0;8.31489140629709;28.3422459893048
"no";"netherlands";1946;28.2;30.6250846376239;51.5151515151515
"no";"poland";1940;0;10.7468412414233;25.3119429590018
"no";"poland";1924;36.2;6.58939553827474;26.3814616755793
"no";"united states";1931;0;0;4.99108734402852
"no";"united states";1915;53.35;30.1328650974982;90.7308377896613
"no";"united states";1909;0;0;4.09982174688057
"no";"united kingdom";1949;54.95;0;0
"yes";"portugal";1874;8.1;0;0
"no";"russia";1947;33;4.15744570314854;15.3297682709447
"no";"united states";1952;49.8;0;49.1978609625668
"yes";"australia";1916;0;0;54.4303797468354
"no";"netherlands";1937;20;0;2.49554367201426
"no";"austria";1964;0;20.7872285157427;31.0160427807487
"no";"germany";1922;47.05;16.6297828125942;4.27807486631016
"no";"iran";1943;0;15.8288713610698;0.53475935828877
"no";"united states";1954;0;0;2.67379679144385
"no";"united kingdom";1932;36.2;0;0.89126559714795
"no";"united states";1950;0;21.8179736912011;20.4991087344029
"no";"united states";1952;0;32.3922365361041;2.13523131672598
"no";"netherlands";1969;0;28.3012084705155;48.4848484848485
"no";"united states";1953;65.55;0;0.177935943060498
"no";"australia";1945;24.9;23.3428513158426;86.096256684492
"no";"germany";1926;0;9.65328998110935;9.62566844919786
"no";"india";1909;13.3;23.8135182818004;0.71301247771836
"no";"united kingdom";1870;44.85;0;3.74331550802139
"yes";"austria";1886;0;53.6411994001091;42.8571428571429
"no";"united states";1945;0;40.1609084154156;5.16934046345811
"no";"tanzania";1946;0;0;22.8163992869875
"no";"united states";1946;0;38.0501272916391;0.204991087344029
"no";"united states";1939;51.3;47.7579901390645;92.1708185053381
"no";"india";1918;0;0;4.99108734402852
"no";"united kingdom";1946;75.75;16.6297828125942;0.244206773618538
"no";"united states";1972;86.3;15.3843772059459;4.99108734402852
"no";"pakistan";1949;0;22.8320810576588;2.85204991087344
"no";"united kingdom";1897;0;0;44.0285204991087
"no";"italy";1852;0;0;1.24777183600713
"no";"scotland";1952;0;19.5418229090944;23.8859180035651
"no";"united states";1934;0;9.65328998110935;2.49554367201426
"no";"united states";1979;0;0;0
"no";"united states";1916;0;0;27.4509803921569
"yes";"united kingdom";1934;0;0;64.1952983725136
"no";"united states";1944;33;0;24.777183600713
"no";"germany";1902;0;0;24.0641711229947
"no";"united states";1953;66.3;11.6714256579213;52.5846702317291
"no";"united states";1949;33.8;9.65328998110935;35.2941176470588
"no";"united states";1882;50.4;0;1.60427807486631
"no";"united states";1925;33.8;0;16.7557932263815
"no";"russia";1936;0;0;6.41711229946524
"no";"iran";1959;0;24.0356890993492;2.31729055258467
"no";"netherlands";1921;47.85;8.31489140629709;10.5169340463458
"no";"united states";1925;73.1;0;0.89126559714795
"no";"united kingdom";1950;0;0;0.71301247771836
"no";"netherlands";1938;0;8.31489140629709;22.2816399286988
"no";"united kingdom";1946;36.2;0;19.4295900178253
"no";"united states";1911;91.5;11.6714256579213;61.8538324420677
"no";"united states";1944;31.6;25.8959755004934;17.4688057040998
"yes";"united kingdom";1924;96.6;29.0076624376193;3.5650623885918
"no";"united states";1911;0;0;3.03030303030303
"no";"united states";1884;25.3;6.58939553827474;0.53475935828877
"no";"united states";1942;61.25;0;18.5383244206774
"no";"united states";1926;65.9;56.9438985319732;14.0569395017794
"no";"united states";1903;80.7;0;0
"no";"united states";1854;0;8.31489140629709;4.99108734402852
"no";"new zealand";1914;0;27.3775172158092;0.526690391459075
"no";"united states";1874;65.9;4.15744570314854;3.38680926916221
"no";"bulgaria";1954;0;0;5.52584670231729
"no";"united states";1918;0;18.8064632171355;45.9893048128342
"no";"brazil";1871;0;0;7.48663101604278
"no";"united states";1943;16.3;0;6.41711229946524
"no";"germany";1865;13.3;0;0.17825311942959
"no";"ukraine";1898;25.3;19.0617326477204;40.9982174688057
"no";"united states";1952;83.35;36.4532502454583;67.0231729055259
"no";"japan";1959;0;32.5910641049294;84.8484848484848
"no";"poland";1881;0;11.6714256579213;7.30837789661319
"no";"netherlands";1958;20;11.6714256579213;46.7023172905526
"yes";"usa";1938;80.7;32.8974077703992;0.204991087344029
"no";"france";1879;0;4.15744570314854;7.1301247771836
"no";"united kingdom";1953;0;32.1284096880975;18.8948306595365
"no";"germany";1950;16.3;14.3823991182398;82.8877005347594
"no";"united kingdom";1968;54.95;13.8107356842579;28.8770053475936
"no";"lancashire";1927;96.6;8.31489140629709;0.35650623885918
"no";"republic of ireland";1928;96.6;0;0.53475935828877
"no";"united states";1970;55;4.15744570314854;24.5989304812834
"yes";"usa";1931;16.3;31.0461646070008;22.4598930481283
"no";"united states";1940;0;26.8547362276855;30.8377896613191
"no";"united states";1968;96.6;9.65328998110935;40.6417112299465
"no";"united states";1927;100;10.7468412414233;67.7361853832442
"yes";"germany";1877;19.1;10.7468412414233;0.35650623885918
"yes";"british protectorate of palestine";1947;37.6;49.6300612554325;46.4737793851718
"no";"italy";1966;0;34.6724735593961;25.1336898395722
"no";"canada";1878;17.2;0;2.67379679144385
"no";"venezuela";1902;93.4;0;8.19964349376114
"no";"poland";1913;0;0;40.8199643493761
"no";"united kingdom";1943;96.6;0;16.5775401069519
"yes";"united kingdom";1886;36.2;0;7.77576853526221
"no";"russia";1917;33;0;9.98217468805704
"no";"canada";1892;17.2;17.9681813874064;10.873440285205
"no";"iran";1951;79.4;19.0617326477204;39.3939393939394
"no";"united states";1921;63.5;11.6714256579213;14.9732620320856
"no";"czech republic";1945;7.7;0;26.3814616755793
"no";"france";1856;28.8;4.15744570314854;6.06060606060606
"no";"united states";1875;0;0;23.5294117647059
"no";"united states";1926;66.7;0;6.77361853832442
"no";"switzerland";1934;79.4;0;0.17825311942959
"no";"united kingdom";1928;98.3;0;1.7825311942959
"no";"united kingdom";1948;45.55;11.6714256579213;22.2816399286988
"no";"japan";1917;14.1;8.31489140629709;20.3208556149733
"yes";"usa";1933;21.7;0;1.08499095840868
"no";"japan";1944;0;21.3021641728778;50.8896797153025
"no";"russia";1931;33;0;0
"no";"india";1917;0;20.7872285157427;13.5472370766488
"no";"india";1948;93.4;0;34.5811051693405
"no";"australia";1936;13.3;12.4723371094456;8.19964349376114
"no";"united states";1873;49.8;0;11.4081996434938
"no";"greece";1937;50.4;20.1967922141704;15.6862745098039
"no";"israel";1953;28.2;0;42.602495543672
"yes";"switzerland";1881;24;33.4668082629098;14.0819964349376
"no";"india";1969;0;18.5398448213884;1.96078431372549
"no";"greece";1961;0;0;0.35650623885918
"no";"united states";1933;93.15;0;30.4812834224599
"no";"cumbria";1915;0;0;7.30837789661319
"no";"united states";1911;0;10.7468412414233;45.632798573975
"no";"united states";1950;0;27.7402460675589;0.71301247771836
"no";"united states";1898;93.4;15.8288713610698;1.24777183600713
"no";"united kingdom";1936;96.6;6.58939553827474;7.84313725490196
"no";"czech republic";1933;96.6;8.31489140629709;7.66488413547237
"no";"united kingdom";1913;21;10.7468412414233;1.06951871657754
"no";"united states";1943;49.8;14.9042869445718;60.0713012477718
"no";"united states";1908;20;0;2.85204991087344
"no";"germany";1894;0;8.31489140629709;3.03030303030303
"no";"united states";1882;66.9;10.7468412414233;3.5650623885918
"no";"united kingdom";1910;0;0;5.16014234875445
"no";"germany";1963;13.3;9.65328998110935;4.27807486631016
"no";"united states";1949;65.9;0;18.3600713012478
"no";"united states";1963;7.7;57.7183199076811;0.181818181818182
"no";"united states";1937;80.7;37.1167521271235;0.190730837789661
"no";"united states";1869;0;14.9042869445718;3.03030303030303
"no";"united kingdom";1897;0;23.9256323179728;6.23885918003565
"no";"dorset";1919;21;0;1.42602495543672
"no";"united states";1938;93.4;0;21.5686274509804
"no";"sweden";1874;0;0;5.3475935828877
"no";"greece";1943;54.3;19.7681866148242;81.1051693404635
"no";"india";1938;36.2;0;0.35650623885918
"no";"united states";1966;20;42.0419181758186;35.1158645276292
"no";"united states";1915;86.3;0;65.9536541889483
"no";"united states";1922;0;0;3.38680926916221
"no";"windham county, connecticut";1929;66.7;0;7.1301247771836
"no";"united kingdom";1952;21;12.4723371094456;10.5169340463458
"no";"germany";1881;0;15.3843772059459;1.96078431372549
"no";"indonesia";1963;0;48.374866302418;13.903743315508
"no";"romania";1912;33.8;0;26.2032085561497
"no";"united states";1954;80.7;18.8064632171355;24.5989304812834
"no";"germany";1932;47.1;0;0.17825311942959
"no";"united kingdom";1921;96.6;0;0.35650623885918
"no";"united states";1960;0;6.58939553827474;0
"no";"united states";1940;49.8;56.7095171512108;55.0802139037433
"no";"united states";1895;0;15.3843772059459;0.89126559714795
"no";"united states";1972;0;0;52.9411764705882
"no";"mexico";1939;0;13.1787910765495;10.5169340463458
"no";"united states";1948;16.3;20.7872285157427;54.7237076648841
"no";"united kingdom";1941;96.6;15.8288713610698;37.6114081996435
"no";"iran";1946;31.7;48.5201196758212;3.92156862745098
"no";"united states";1917;0;44.7509210648508;39.2156862745098
"no";"czech republic";1855;0;0;2.49554367201426
"no";"united states";1926;10.5;0;28.8770053475936
"no";"united states";1873;89.6;13.8107356842579;2.85204991087344
"no";"germany";1880;0;0;42.0677361853832
"no";"united states";1968;79.4;0;8.19964349376114
"no";"united states";1952;100;27.6214713685158;8.73440285204991
"no";"netherlands";1947;0;24.9446742188913;28.3422459893048
"no";"israel";1946;28.2;17.9681813874064;20.855614973262
"no";"united states";1968;0;6.58939553827474;0.71301247771836
"no";"united states";1937;47.1;39.1516935680416;20.4626334519573
"no";"england";1925;24.9;0;6.06060606060606
"no";"canada";1917;100;18.5398448213884;46.7023172905526
"yes";"belgium";1870;0;36.0514500949968;10.6690777576854
"no";"united states";1938;16.3;12.4723371094456;3.74331550802139
"no";"united kingdom";1866;0;39.6018355580243;77.8966131907308
"no";"united states";1927;100;8.31489140629709;3.38680926916221
"no";"canada";1974;96.7;52.7588851470663;15.5080213903743
"no";"france";1963;89.6;8.31489140629709;54.0106951871658
"no";"somerset";1925;96.6;0;0.71301247771836
"no";"wales";1942;0;11.6714256579213;15.8645276292335
"no";"hungary";1949;63.2;26.2830727937035;25.8467023172906
"no";"russia";1958;0;0;1.60427807486631
"no";"united states";1933;80.7;0;33.8680926916221
"no";"united states";1947;0;10.7468412414233;1.60427807486631
"no";"germany";1869;25.3;10.7468412414233;11.9429590017825
"no";"united states";1973;89.6;16.2426855193841;42.2459893048128
"no";"united states";1888;100;0;0.35650623885918
"no";"united states";1920;79.4;4.15744570314854;8.55614973262032
"no";"ukraine";1946;0;32.212691069692;5.3475935828877
