"Nobel";"Country";"Year";"UniversityScore";"Popularity";"Productivity"
"no";"italy";1883;0;6.58939553827474;3.38680926916221
"no";"united states";1899;0;0;11.4081996434938
"no";"canada";1907;0;0;14.0819964349376
"no";"republic of ireland";1869;13.3;4.15744570314854;0
"no";"india";1952;0;0;75.4010695187166
"no";"argentina";1954;0;4.15744570314854;21.0338680926916
"no";"united states";1899;100;20.1967922141704;4.09982174688057
"yes";"morocco";1944;0;60.6088668558695;34.7197106690778
"no";"united states";1961;47.1;0;9.09090909090909
"yes";"germany";1899;0;33.7923120415189;1.26582278481013
"no";"scotland";1923;0;0;39.7504456327986
"no";"united states";1929;7.7;6.58939553827474;2.67379679144385
"no";"russia";1946;0;19.0617326477204;15.8645276292335
"no";"united states";1956;54.9;9.65328998110935;0.17825311942959
"no";"india";1941;36.2;29.1021199220398;28.5204991087344
"no";"netherlands";1937;0;31.62706272533;30.8377896613191
"no";"canada";1914;86.3;0;0.53475935828877
"no";"united states";1909;49.8;0;17.2905525846702
"no";"poland";1919;0;0;1.60427807486631
"no";"united states";1855;33.6;20.5968021631723;86.096256684492
"no";"canada";1870;17.2;19.3065799622187;5.3475935828877
"yes";"germany";1930;0;55.2002701243057;43.9421338155515
"no";"canada";1920;96.7;10.7468412414233;21.74688057041
"yes";"usa";1937;49.8;0;37.7938517179023
"no";"france";1914;28.8;0;1.06951871657754
"no";"united kingdom";1932;0;22.5594010885826;41.8894830659537
"yes";"france";1904;0;0;0
"no";"south korea";1955;0;34.7277543774359;22.2816399286988
"no";"china";1966;82.95;19.3065799622187;87.5222816399287
"no";"united states";1898;80.7;0;45.2762923351159
"no";"united kingdom";1946;96.6;26.2830727937035;0.329768270944742
"no";"china";1902;86.3;0;2.49554367201426
"no";"united states";1923;100;0;26.3814616755793
"no";"united states";1960;0;6.58939553827474;4.63458110516934
"no";"india";1956;0;24.456769068726;0.53475935828877
"no";"england";1883;13.3;0;30.4812834224599
"no";"scotland";1881;0;52.5454921973687;92.6916221033868
"no";"canada";1883;17.2;0;7.1301247771836
"no";"united states";1936;80.7;4.15744570314854;1.24777183600713
"no";"united states";1969;49.8;11.6714256579213;0.89126559714795
"no";"surrey";1951;96.6;21.1508505292841;36.0071301247772
"no";"united states";1966;82.95;29.1951128902038;27.2727272727273
"no";"united states";1901;33.6;9.65328998110935;11.7647058823529
"no";"england";1952;58.8;8.31489140629709;4.09982174688057
"no";"united states";1854;100;0;5.52584670231729
"no";"germany";1954;0;12.4723371094456;32.4420677361854
"no";"iran";1903;0;0;0.35650623885918
"no";"united states";1941;100;23.699268612243;0.212121212121212
"no";"united states";1970;7.7;0;30.1247771836007
"no";"united states";1878;65.9;23.8135182818004;44.2067736185383
"no";"united states";1961;79.4;22.68439353759;81.8505338078292
"no";"russia";1880;0;21.3247156390307;2.31729055258467
"no";"ukraine";1925;28.2;17.6605279880525;12.6559714795009
"no";"united states";1930;100;23.092901554164;32.4420677361854
"no";"india";1909;0;20.1967922141704;0.89126559714795
"no";"united states";1943;58.25;48.4553765890761;0.475935828877005
"yes";"the netherlands";1853;9.4;0;28.3422459893048
"no";"united kingdom";1929;36.2;0;25.4901960784314
"no";"united states";1907;80.05;25.8959755004934;16.0427807486631
"no";"pakistan";1942;54.9;33.6889790804585;0.53475935828877
"no";"belgium";1892;13.3;13.1787910765495;6.59536541889483
"no";"united states";1865;0;30.6250846376239;43.1372549019608
"no";"united states";1935;0;34.4653032342005;80.7486631016043
"no";"united states";1954;79.4;0;67.2014260249554
"no";"india";1928;32.6;27.5002970189912;3.20855614973262
"no";"czech republic";1878;100;0;2.31729055258467
"no";"ukraine";1925;28.2;9.65328998110935;11.0516934046346
"no";"united states";1891;65.9;19.3065799622187;0.53475935828877
"no";"india";1945;0;21.3247156390307;39.7504456327986
"no";"rwanda";1947;28.2;25.8154652138353;16.7557932263815
"no";"united states";1927;65.9;25.5672397374349;9.09090909090909
"no";"armenia";1902;33;0;0
"yes";"usa";1912;100;28.1383588391612;1.96078431372549
"no";"united states";1927;33.6;8.31489140629709;35.1158645276292
"no";"united states";1905;0;35.9363627748129;14.9732620320856
