Christian de Duve;Rockefeller University
Lord Rayleigh (John William Strutt);Royal Institution of Great Britain
Finn E. Kydland;Carnegie Mellon University
Finn E. Kydland;University of California
Prince Louis-Victor Pierre Raymond de Broglie;Sorbonne University, Institut Henri Poincaré
George H. Hitchings;Wellcome Research Laboratories
Jean Dausset;Université de Paris, Laboratoire Immuno-Hématologie
Georges Charpak;CERN
Georges Charpak;École Supérieure de Physique et Chimie
Igor Yevgenyevich Tamm;P.N. Lebedev Physical Institute
Igor Yevgenyevich Tamm;University of Moscow
William F. Sharpe;Stanford University
Sir Martin Ryle;University of Cambridge
Luc Montagnier;World Foundation for AIDS Research and Prevention
Venkatraman Ramakrishnan;MRC Laboratory of Molecular Biology
Guglielmo Marconi;Marconi Wireless Telegraph Co. Ltd.
David M. Lee;Cornell University
Karl Manne Georg Siegbahn;Uppsala University
Andrew Z. Fire;Stanford University School of Medicine
Alfred Kastler;École Normale Supérieure
Ragnar Granit;Karolinska Institutet
Jens C. Skou;Aarhus University
François Jacob;Institut Pasteur
Stanley B. Prusiner;University of California School of Medicine
Sir Robert Robinson;University of Oxford
Gary S. Becker;University of Chicago
Emil Theodor Kocher;Berne University
Edwin Mattison McMillan;University of California
Max Theiler;Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation
Johannes Diderik van der Waals;Amsterdam University
Willard S. Boyle;Bell Laboratories
Eric R. Kandel;Columbia University
Robert C. Richardson;Cornell University
Horst L. Störmer;Columbia University
Manfred Eigen;Max-Planck-Institut für Physikalische Chemie
John C. Mather;NASA Goddard Space Flight Center
Christiaan Eijkman;Utrecht University
Ernest Orlando Lawrence;University of California
Tjalling C. Koopmans;Yale University
Lloyd S. Shapley;University of California
Henrik Carl Peter Dam;Polytechnic Institute
William N. Lipscomb;Harvard University
Carol W. Greider;Johns Hopkins University School of Medicine
Claude Cohen-Tannoudji;École Normale Supérieure
Claude Cohen-Tannoudji;Collège de France
Dorothy Crowfoot Hodgkin;University of Oxford, Royal Society
Bernardo Alberto Houssay;Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine)
Ei-ichi Negishi;Purdue University
Robert C. Merton;Harvard University
Robert F. Curl Jr.;Rice University
Theodore W. Schultz;University of Chicago
Albert Claude;Université Catholique de Louvain
Gerard Debreu;University of California
Vincent du Vigneaud;Cornell University
Robert J. Aumann;University of Jerusalem, Center for RationalityHebrew
Paul Adrien Maurice Dirac;University of Cambridge
Andrew Fielding Huxley;University College
Amartya Sen;Trinity College
Paul J. Crutzen;Max-Planck-Institut für Chemie
Richard E. Smalley;Rice University
Daniel Bovet;Istituto Superiore di Sanità (Chief Institute of Public Health)
John E. Sulston;The Wellcome Trust Sanger Institute
Karl Ziegler;Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research)
Frederick Reines;University of California
Ernst Otto Fischer;Technical University
André Frédéric Cournand;Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital
George D. Snell;Jackson Laboratory
Jack Steinberger;CERN
Adolf Friedrich Johann Butenandt;Berlin University
Adolf Friedrich Johann Butenandt;Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie
Eugene F. Fama;University of Chicago
Emilio Gino Segrè;University of California
Paul Ehrlich;Königliches Institut für experimentelle Therapie (Royal Institute for Experimental Therapy)
Paul Ehrlich;Goettingen University
A. Michael Spence;Stanford University
Kai M. Siegbahn;Uppsala University
Adolf Otto Reinhold Windaus;Goettingen University
Paul J. Flory;Stanford University
Werner Arber;Biozentrum der Universität
Craig C. Mello;University of Massachusetts Medical School
Ernst Ruska;Fritz-Haber-Institut der Max-Planck-Gesellschaft
William Bradford Shockley;Semiconductor Laboratory of Beckman Instruments, Inc.
Karl von Frisch;Zoologisches Institut der Universität München
Antoine Henri Becquerel;École Polytechnique
Angus Deaton;Princeton University
Georges J.F. Köhler;Basel Institute for Immunology
Sir Frederick Gowland Hopkins;University of Cambridge
Richard P. Feynman;California Institute of Technology (Caltech)
Heinrich Rohrer;IBM Zurich Research Laboratory
Georg von Békésy;Harvard University
Eric S. Maskin;Institute for Advanced Study
Sir Henry Hallett Dale;National Institute for Medical Research
Bertram N. Brockhouse;McMaster University
Michael S. Brown;University of Texas Southwestern Medical Center at Dallas
Sir James W. Black;London University, King's College Hospital Medical School
Charles Edouard Guillaume;Bureau International des Poids et Mesures (International Bureau of Weights and Measures)
Aleksandr Mikhailovich Prokhorov;P.N. Lebedev Physical Institute
Hans Albrecht Bethe;Cornell University
Christiane Nüsslein-Volhard;Max-Planck-Institut für Entwicklungsbiologie
André Lwoff;Institut Pasteur
Frederick Grant Banting;University of Toronto
Sir Harold W. Kroto;University of Sussex
Charles Jules Henri Nicolle;Institut Pasteur
Harry M. Markowitz;City University of New York
K. Alexander Müller;IBM Zurich Research Laboratory
Albert Fert;Universit&eacute  Paris-Sud
Albert Fert;Unit&eacute  Mixte de Physique CNRS/THALES
Albert Abraham Michelson;University of Chicago
Elizabeth H. Blackburn;University of California
Robert A. Mundell;Columbia University
Thomas C. Schelling;University of Maryland, Department of Economics and School of Public Policy
Theodor W. Hänsch;Ludwig-Maximilians- Universität
Theodor W. Hänsch;Max-Planck-Institut für Quantenoptik
Alan G. MacDiarmid;University of Pennsylvania
Edmond H. Fischer;University of Washington
Edward Adelbert Doisy;Saint Louis University
Leo Esaki;IBM Thomas J. Watson Research Center
Dudley R. Herschbach;Harvard University
Sir Howard Walter Florey;University of Oxford
William D. Phillips;National Institute of Standards and Technology
Dan Shechtman;Technion - Israel Institute of Technology
Myron S. Scholes;Long Term Capital Management
George A. Olah;University of Southern California
Sir Arthur Lewis;Princeton University
Wolfgang Pauli;Princeton University
Robert H. Grubbs;California Institute of Technology (Caltech)
Sir Cyril Norman Hinshelwood;University of Oxford
Hans Spemann;University of Freiburg im Breisgau
Ivan Petrovich Pavlov;Military Medical Academy
Konrad Bloch;Harvard University
Alfred D. Hershey;Carnegie Institution of Washington
James A. Mirrlees;University of Cambridge
Willard Frank Libby;University of California
Tim Hunt;Imperial Cancer Research Fund
Sir William Ramsay;University College
Randy W. Schekman;Howard Hughes Medical Institute
Randy W. Schekman;University of California
May-Britt Moser;Norwegian University of Science and Technology (NTNU)
Petrus (Peter) Josephus Wilhelmus Debye;Berlin University
Petrus (Peter) Josephus Wilhelmus Debye;Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik
Lawrence R. Klein;University of Pennsylvania
George E. Palade;Yale University, School of Medicine
Philipp Eduard Anton von Lenard;Kiel University
Robert G. Edwards;University of Cambridge
Sir John Douglas Cockcroft;Atomic Energy Research Establishment
Jacobus Henricus van 't Hoff;Berlin University
Henri Moissan;Sorbonne University
Clifford G. Shull;Massachusetts Institute of Technology (MIT)
Stanford Moore;Rockefeller University
Alan J. Heeger;University of California
Robert J. Lefkowitz;Duke University Medical Center
Robert J. Lefkowitz;Howard Hughes Medical Institute
Anthony J. Leggett;University of Illinois
John A. Pople;Northwestern University
D. Carleton Gajdusek;National Institutes of Health
Feodor Lynen;Max-Planck-Institut für Zellchemie
Max Born;Edinburgh University
Paul Modrich;Duke University School of Medicine
Paul Modrich;Howard Hughes Medical Institute
César Milstein;MRC Laboratory of Molecular Biology
Emil Adolf von Behring;Marburg University
Nicolay Gennadiyevich Basov;P.N. Lebedev Physical Institute
Henry W. Kendall;Massachusetts Institute of Technology (MIT)
Haldan Keffer Hartline;Rockefeller University
Simon van der Meer;CERN
Robert J. Shiller;Yale University
Francis Harry Compton Crick;MRC Laboratory of Molecular Biology
Avram Hershko;Technion - Israel Institute of Technology
Sin-Itiro Tomonaga;Tokyo University of Education
