Harvard University;100.0
Stanford University;89.6
Massachusetts Institute of Technology (MIT);80.7
University of California, Berkeley;79.4
University of Cambridge;96.6
Princeton University;93.4
California Institute of Technology;66.7
Columbia University;65.9
University of Chicago;86.3
University of Oxford;54.9
Yale University;50.4
University of California, Los Angeles;47.1
Cornell University;49.8
University of California, San Diego;35.5
University of Washington;31.6
Johns Hopkins University;33.6
University of Pennsylvania;33.8
University College London;36.2
University of California, San Francisco;39.9
Swiss Federal Institute of Technology Zurich;35.5
The University of Tokyo;14.1
University of Michigan-Ann Arbor;0.0
The Imperial College of Science, Technology and Medicine;35.8
University of Wisconsin - Madison;34.8
University of Toronto;17.2
Kyoto University;37.2
New York University;31.9
Northwestern University;22.1
University of Illinois at Urbana-Champaign;36.2
University of Minnesota, Twin Cities;16.3
Duke University;14.9
Washington University in St. Louis;24.9
Rockefeller University;59.8
University of Colorado at Boulder;34.1
University of Copenhagen;18.8
Pierre and Marie  Curie University - Paris 6;27.4
The University of Texas at Austin;16.3
University of California, Santa Barbara;39.1
University of North Carolina at Chapel Hill;16.3
University of British Columbia;18.8
The University of Manchester;32.6
University of Paris-Sud (Paris 11);54.3
University of Maryland, College Park;20.0
The University of Melbourne;13.3
The University of Texas Southwestern Medical Center at Dallas;34.5
Heidelberg University;25.3
The University of Edinburgh;24.9
Karolinska Institute;26.6
University of Southern California;31.7
University of California, Irvine;29.3
Technical University Munich;21.6
University of Munich;19.1
Vanderbilt University;29.0
University of Zurich;24.0
King's College London;21.0
Utrecht University;20.0
University of California, Davis;0.0
University of Geneva;28.2
University of Oslo;32.6
Pennsylvania State University - University Park;0.0
Carnegie Mellon University;31.6
Purdue University - West Lafayette;23.1
Uppsala University;27.4
McGill University;0.0
Rutgers, The State University of New Jersey - New Brunswick;18.8
University of Bristol;16.3
The Hebrew University of Jerusalem;28.2
The Ohio State University - Columbus;0.0
University of Helsinki;16.3
University of Pittsburgh, Pittsburgh Campus;0.0
Ghent University;13.3
Ecole Normale Superieure - Paris;28.0
Aarhus University;22.1
Boston University;11.5
Brown University;13.3
University of Groningen;18.8
Nagoya University;25.3
Stockholm University;27.4
Technion-Israel Institute of Technology;37.6
The Australian National University;19.2
The University of Queensland;0.0
Leiden University;9.4
University of Florida;0.0
Rice University;21.7
Osaka University;0.0
Moscow State University;33.0
The University of Western Australia;14.1
University of Basel;16.3
University of Strasbourg;28.8
KU Leuven;0.0
University of Arizona;0.0
University of Warwick;29.8
Arizona State University;20.0
University of California, Santa Cruz;0.0
University of Utah;11.5
McMaster University;18.8
University of Bonn;19.8
VU University Amsterdam;0.0
Michigan State University;0.0
Texas A&M University;0.0
Aix Marseille University;0.0
Baylor College of Medicine;0.0
Case Western Reserve University;10.9
Emory University;0.0
Université libre de Bruxelles (ULB);26.6
Georgia Institute of Technology;0.0
Icahn School of Medicine at Mount Sinai;0.0
Indiana University Bloomington;21.6
London School of Economics and Political Science;16.3
Lund University;0.0
Mayo Medical School;0.0
Monash University;0.0
National University of Singapore;0.0
Norwegian University of Science and Technology - NTNU;21.0
Peking University;0.0
Radboud University Nijmegen;0.0
Seoul National University;0.0
Shanghai Jiao Tong University;0.0
Swiss Federal Institute of Technology Lausanne;0.0
Technical University of Denmark;11.5
The University of Glasgow;0.0
The University of New South Wales;0.0
The University of Sheffield;13.3
The University of Texas M. D. Anderson Cancer Center;0.0
Tohoku University;0.0
Tsinghua University;0.0
Tufts University;16.3
University of Alberta;0.0
University of Amsterdam;0.0
University of Birmingham;9.4
University of California, Riverside;0.0
University of Frankfurt;0.0
University of Freiburg;18.8
University of Goettingen;14.9
University of Leeds;0.0
University of Liverpool;13.3
University of Massachusetts Amherst;0.0
University of Massachusetts Medical School - Worcester;20.0
University of Montreal;0.0
University of Muenster;13.3
University of Nottingham;20.0
University of Rochester;7.7
University of Sao Paulo;0.0
University of Southampton;0.0
University of Sydney;0.0
University of Virginia;0.0
University of Wageningen;0.0
University Paris Diderot - Paris 7;9.4
Weizmann Institute of Science;16.3
Zhejiang University;0.0
Cardiff University;16.3
Catholic University of Louvain;13.3
Erasmus University;14.9
Fudan University;0.0
George Mason University;31.9
Hokkaido University;16.3
Iowa State University;0.0
Joseph Fourier University (Grenoble 1);14.9
King Abdulaziz University;0.0
King Saud University;0.0
Nanyang Technological University;0.0
National Taiwan University;0.0
North Carolina State University - Raleigh;0.0
Oregon Health and Science University;0.0
Oregon State University;0.0
