Nigel Shadbolt;1956;United Kingdom;University of Edinburgh;scientist;no
Nigel Shadbolt;1956;United Kingdom;Newcastle University;scientist;no
Yvonne Shirley Thornton;1947;United States;Columbia University Mailman School of Public Health;scientist;no
Jacqueline K. Barton;1952;United States;Barnard College;scientist;no
Thomas H. Maren;1918;United States;Johns Hopkins University;scientist;no
Bernard Vonnegut;1914;United States;Massachusetts Institute of Technology;scientist;no
Thomas H. Maren;1918;United States;Princeton University;scientist;no
Alan Jay Heeger;1936;United States;University of California, Berkeley;scientist;no
Gary Goldschneider;1939;United States;University of Pennsylvania;scientist;no
Jennifer Rohn;1967;United States;University of Washington;scientist;no
Gary Goldschneider;1939;United States;Yale University;scientist;no
Bernard Vonnegut;1914;United States;Doctor of Philosophy;scientist;no
Jacqueline K. Barton;1952;United States;Columbia University;scientist;no
David Peter Stroh;1950;United States;University of Michigan;scientist;no
Richard S. Varga;1928;United States;Harvard University;scientist;no
Richard S. Varga;1928;United States;Case Western Reserve University;scientist;no
Clarence Lusane;1953;United States;Howard University;scientist;no
Yvonne Shirley Thornton;1947;United States;Columbia University College of Physicians and Surgeons;scientist;no
Yvonne Shirley Thornton;1947;United States;Monmouth University;scientist;no
Richard Levine;1939;United States;Rensselaer Polytechnic Institute;scientist;no
Richard Levine;1939;United States;Rhode Island School of Design;scientist;no
Jon M. Mills;1947;United States;Stetson University;scientist;no
Frank Lee Pyman;1882;Worcestershire;University of Manchester;scientist;no
John Cornforth;1917;Australia;University of Sydney;scientist;no
George Chaldakov;1940;Bulgaria;Doctor of Philosophy;scientist;no
Andrew Carnie;1969;Canada;Massachusetts Institute of Technology;scientist;no
John Johnston Oneill;1886;Canada;Yale University;scientist;no
Duncan J. Watts;1971;Canada;Cornell University;scientist;no
Henri Lebesgue;1875;France;University of Paris;scientist;no
Louis de Broglie;1892;France;University of Paris;scientist;no
Athanassios S Fokas;1952;Greece;California Institute of Technology;scientist;no
Robert Hanbury Brown;1916;India;University of London;scientist;no
Jan Boldingh;1915;Indonesia;Utrecht University;scientist;no
Mark H. Overmars;1958;Netherlands;Utrecht University;scientist;no
Albert A. Michelson;1852;Poland;United States Naval Academy;scientist;no
Abraham Robinson;1918;Poland;University of London;scientist;no
Manuel Castells;1942;Spain;University of Paris;scientist;no
Ernst Antevs;1888;Sweden;Stockholm University;scientist;no
Edward Ginzton;1915;Ukraine;Stanford University;scientist;no
Edward Ginzton;1915;Ukraine;University of California, Berkeley;scientist;no
Frank Lee Pyman;1882;United Kingdom;University of Manchester;scientist;no
Keith Nugent;1959;United Kingdom;Australian National University;scientist;no
Edward Witten;1951;United States;Brandeis University;scientist;no
Norbert Wiener;1894;United States;Tufts University;scientist;no
Boyd Haley;1940;United States;University of Idaho;scientist;no
Scott Shenker;1956;United States;Brown University;scientist;no
Ivan Edward Sutherland;1938;United States;California Institute of Technology;scientist;no
Peter W. Shor;1959;United States;California Institute of Technology;scientist;no
Robert Carhart Merton;1944;United States;California Institute of Technology;scientist;no
Robert Endre Tarjan;1948;United States;California Institute of Technology;scientist;no
Charles Lane Poor;1866;United States;Johns Hopkins University;scientist;no
Frederic M. Richards;1925;United States;Massachusetts Institute of Technology;scientist;no
George Lakoff;1941;United States;Massachusetts Institute of Technology;scientist;no
Ivan Edward Sutherland;1938;United States;Massachusetts Institute of Technology;scientist;no
Peter W. Shor;1959;United States;Massachusetts Institute of Technology;scientist;no
Robert Carhart Merton;1944;United States;Massachusetts Institute of Technology;scientist;no
Robert A. Millikan;1868;United States;Oberlin College;scientist;no
Paul Flory;1910;United States;Ohio State University;scientist;no
Edward Witten;1951;United States;Princeton University;scientist;no
John Willard Milnor;1931;United States;Princeton University;scientist;no
Andrew J. Majda;1949;United States;Purdue University;scientist;no
Mary Fanett Wheeler;1938;United States;Rice University;scientist;no
Willis Harman;1918;United States;Stanford University;scientist;no
Andrew J. Majda;1949;United States;Stanford University;scientist;no
Nolan Bushnell;1943;United States;Stanford University;scientist;no
Robert Endre Tarjan;1948;United States;Stanford University;scientist;no
Ronald Linn Rivest;1947;United States;Stanford University;scientist;no
Emanuel Parzen;1929;United States;University of California, Berkeley;scientist;no
Alexander Theodore Shulgin;1925;United States;University of California, Berkeley;scientist;no
Lynn Margulis;1938;United States;University of California, Berkeley;scientist;no
Sanford Alexander Moss;1872;United States;University of California, San Francisco;scientist;no
Alexander Theodore Shulgin;1925;United States;University of California, San Francisco;scientist;no
Scott Shenker;1956;United States;University of Chicago;scientist;no
Michael C. Jensen;1939;United States;University of Chicago;scientist;no
Lynn Margulis;1938;United States;University of Chicago;scientist;no
Robert Thomas Moore;1882;United States;University of Pennsylvania;scientist;no
William Shainline Middleton;1890;United States;University of Pennsylvania;scientist;no
Nolan Bushnell;1943;United States;University of Utah;scientist;no
Robert R. Phelps;1926;United States;University of Washington;scientist;no
David Schizer;1968;United States;Yale University;scientist;no
Robert O. Mendelsohn;1952;United States;Yale University;scientist;no
Ronald Linn Rivest;1947;United States;Yale University;scientist;no
Sanford Alexander Moss;1872;United States;Cornell University;scientist;no
Frank Drake;1930;United States;Cornell University;scientist;no
Persi Diaconis;1945;United States;City College of New York;scientist;no
George Lakoff;1941;United States;Indiana University;scientist;no
Michael P. Taylor;1968;Hertfordshire;University of Warwick;scientist;no
Michael P. Taylor;1968;Hertfordshire;University of Portsmouth;scientist;no
Mortimer Wheeler;1890;Scotland;Bradford Grammar School;scientist;no
G. H. Hardy;1877;Surrey;University of Cambridge;scientist;no
Hedley Marston;1900;Australia;University of Adelaide;scientist;no
Peter Doherty;1940;Australia;University of Edinburgh;scientist;no
John Cornforth;1917;Australia;St Catherine's College, Oxford;scientist;no
Peter Doherty;1940;Australia;University of Queensland;scientist;no
Otto Rank;1884;Austria;University of Vienna;scientist;no
Paul Ehrenfest;1880;Austria;University of Vienna;scientist;no
Paul Ehrenfest;1880;Austria;Technische Hochschule;scientist;no
George Chaldakov;1940;Bulgaria;Medical University of Varna;scientist;no
