Robert, Fico, 1964, Slovakia, Comenius University in Bratislava
Robert, Goodwill, 1956, England, Bootham School
Robert, Goodwill, 1956, England, Newcastle University
Robert, Goodwill, 1956, North Yorkshire, Bootham School
Robert, Goodwill, 1956, North Yorkshire, Newcastle University
Robert, Goodwill, 1956, United Kingdom, Newcastle University
Robert, Goodwill, 1956, United Kingdom, Bootham School
Robert, Kilroy-Silk, 1942, United Kingdom, London School of Economics
Robert, Sturdy, 1944, England national football team, University of Sussex
Robert, Sturdy, 1944, United Kingdom, University of Sussex
Roger, Helmer, 1944, United Kingdom, Churchill College, Cambridge
Roger Maurice, Knapman, 1944, Devon, Royal Agricultural University
Roger Maurice, Knapman, 1944, United Kingdom, Royal Agricultural University
Rolandas, Paksas, 1956, Lithuania, Saint Petersburg State University of Civil Aviation
Rolandas, Paksas, 1956, Lithuania, Vilnius Gediminas Technical University
Rovana, Plumb, 1960, Romania, Bucharest University of Economic Studies
Simon, Coveney, 1972, Ireland cricket team, Gurteen College
Simon, Coveney, 1972, Ireland cricket team, University College Cork
Simon, Coveney, 1972, Ireland cricket team, Royal Agricultural University
Syed, Kamall, 1967, United Kingdom, University of Liverpool
Syed, Kamall, 1967, United Kingdom, London School of Economics
Syed, Kamall, 1967, United Kingdom, City University London
Tanja, Fajon, 1971, Slovenia, University of Paris
Tanja, Fajon, 1971, Slovenia, University of Ljubljana
Toomas Hendrik, Ilves, 1953, Sweden, University of Pennsylvania
Toomas Hendrik, Ilves, 1953, Sweden, Columbia College, Columbia University
Tunne-Väldo, Kelam, 1936, Estonia, University of Tartu
Vincent, Peillon, 1960, France, Pantheon-Sorbonne University
Wolf, Klinz, 1941, Austria, Vienna University of Economics and Business
Wolf, Klinz, 1941, Austria, INSEAD
