Jacqueline K. Barton;1952;United States;Columbia University;no
David Peter Stroh;1950;United States;University of Michigan;no
Richard S. Varga;1928;United States;Harvard University;no
Richard S. Varga;1928;United States;Case Western Reserve University;no
Clarence Lusane;1953;United States;Howard University;no
Yvonne Shirley Thornton;1947;United States;Columbia University College of Physicians and Surgeons;no
Yvonne Shirley Thornton;1947;United States;Monmouth University;no
Richard Levine;1939;United States;Rensselaer Polytechnic Institute;no
Richard Levine;1939;United States;Rhode Island School of Design;no
Jon M. Mills;1947;United States;Stetson University;no
Frank Lee Pyman;1882;Worcestershire;University of Manchester;no
John Cornforth;1917;Australia;University of Sydney;no
George Chaldakov;1940;Bulgaria;Doctor of Philosophy;no
Andrew Carnie;1969;Canada;Massachusetts Institute of Technology;no
John Johnston Oneill;1886;Canada;Yale University;no
Duncan J. Watts;1971;Canada;Cornell University;no
Henri Lebesgue;1875;France;University of Paris;no
Louis de Broglie;1892;France;University of Paris;no
Athanassios S Fokas;1952;Greece;California Institute of Technology;no
Robert Hanbury Brown;1916;India;University of London;no
Jan Boldingh;1915;Indonesia;Utrecht University;no
Mark H. Overmars;1958;Netherlands;Utrecht University;no
Albert A. Michelson;1852;Poland;United States Naval Academy;no
Abraham Robinson;1918;Poland;University of London;no
Manuel Castells;1942;Spain;University of Paris;no
Ernst Antevs;1888;Sweden;Stockholm University;no
Edward Ginzton;1915;Ukraine;Stanford University;no
Edward Ginzton;1915;Ukraine;University of California, Berkeley;no
Frank Lee Pyman;1882;United Kingdom;University of Manchester;no
Keith Nugent;1959;United Kingdom;Australian National University;no
Edward Witten;1951;United States;Brandeis University;no
Norbert Wiener;1894;United States;Tufts University;no
Boyd Haley;1940;United States;University of Idaho;no
Scott Shenker;1956;United States;Brown University;no
Ivan Edward Sutherland;1938;United States;California Institute of Technology;no
Peter W. Shor;1959;United States;California Institute of Technology;no
Robert Carhart Merton;1944;United States;California Institute of Technology;no
Robert Endre Tarjan;1948;United States;California Institute of Technology;no
Charles Lane Poor;1866;United States;Johns Hopkins University;no
Frederic M. Richards;1925;United States;Massachusetts Institute of Technology;no
George Lakoff;1941;United States;Massachusetts Institute of Technology;no
Ivan Edward Sutherland;1938;United States;Massachusetts Institute of Technology;no
Peter W. Shor;1959;United States;Massachusetts Institute of Technology;no
Robert Carhart Merton;1944;United States;Massachusetts Institute of Technology;no
Robert A. Millikan;1868;United States;Oberlin College;no
Paul Flory;1910;United States;Ohio State University;no
Edward Witten;1951;United States;Princeton University;no
John Willard Milnor;1931;United States;Princeton University;no
Andrew J. Majda;1949;United States;Purdue University;no
Mary Fanett Wheeler;1938;United States;Rice University;no
Willis Harman;1918;United States;Stanford University;no
Andrew J. Majda;1949;United States;Stanford University;no
Nolan Bushnell;1943;United States;Stanford University;no
Robert Endre Tarjan;1948;United States;Stanford University;no
Ronald Linn Rivest;1947;United States;Stanford University;no
Emanuel Parzen;1929;United States;University of California, Berkeley;no
Alexander Theodore Shulgin;1925;United States;University of California, Berkeley;no
Lynn Margulis;1938;United States;University of California, Berkeley;no
Sanford Alexander Moss;1872;United States;University of California, San Francisco;no
Alexander Theodore Shulgin;1925;United States;University of California, San Francisco;no
Scott Shenker;1956;United States;University of Chicago;no
Michael C. Jensen;1939;United States;University of Chicago;no
Lynn Margulis;1938;United States;University of Chicago;no
Robert Thomas Moore;1882;United States;University of Pennsylvania;no
William Shainline Middleton;1890;United States;University of Pennsylvania;no
Nolan Bushnell;1943;United States;University of Utah;no
Robert R. Phelps;1926;United States;University of Washington;no
David Schizer;1968;United States;Yale University;no
Robert O. Mendelsohn;1952;United States;Yale University;no
Ronald Linn Rivest;1947;United States;Yale University;no
Sanford Alexander Moss;1872;United States;Cornell University;no
Frank Drake;1930;United States;Cornell University;no
Persi Diaconis;1945;United States;City College of New York;no
George Lakoff;1941;United States;Indiana University;no
Michael P. Taylor;1968;Hertfordshire;University of Warwick;no
Michael P. Taylor;1968;Hertfordshire;University of Portsmouth;no
Mortimer Wheeler;1890;Scotland;Bradford Grammar School;no
G. H. Hardy;1877;Surrey;University of Cambridge;no
Hedley Marston;1900;Australia;University of Adelaide;no
Peter Doherty;1940;Australia;University of Edinburgh;no
John Cornforth;1917;Australia;St Catherine's College, Oxford;no
Peter Doherty;1940;Australia;University of Queensland;no
Otto Rank;1884;Austria;University of Vienna;no
Paul Ehrenfest;1880;Austria;University of Vienna;no
Paul Ehrenfest;1880;Austria;Technische Hochschule;no
George Chaldakov;1940;Bulgaria;Medical University of Varna;no
Duncan J. Watts;1971;Canada;University of New South Wales;no
John Johnston Oneill;1886;Canada;McGill University;no
Rolf Singer;1906;Germany;University of Vienna;no
Akhtar Hameed Khan;1914;India;Magdalene College, Cambridge;no
Raj Chandra Bose;1901;India;University of Calcutta;no
Satyendra Nath Bose;1894;India;University of Calcutta;no
Yadolah Dodge;1944;Iran;Oregon State University;no
Adi Shamir;1952;Israel;Bachelor of Science;no
Adi Shamir;1952;Israel;Weizmann Institute of Science;no
Peter Fulde;1936;Poland;University of Hamburg;no
Albert A. Michelson;1852;Poland;Humboldt University of Berlin;no
Peter Fulde;1936;Poland;University of Maryland, College Park;no
Alfred Tarski;1901;Poland;University of Warsaw;no
Hugo Steinhaus;1887;Poland;Lviv University;no
Abraham Robinson;1918;Poland;Hebrew University of Jerusalem;no
Eugeny Pchelov;1971;Russia;Russian State University for the Humanities;no
Ivo Lah;1896;Slovenia;University of Zagreb;no
Keith Nugent;1959;United Kingdom;University of Adelaide;no
J. B. S. Haldane;1892;United Kingdom;University of Oxford;no
Michael P. Taylor;1968;United Kingdom;University of Warwick;no
Mortimer Wheeler;1890;United Kingdom;Bradford Grammar School;no
Anthony Hallam;1933;United Kingdom;University of Cambridge;no
Alan Lindsay Mackay;1926;United Kingdom;University of Cambridge;no
Archibald Hill;1886;United Kingdom;University of Cambridge;no
G. H. Hardy;1877;United Kingdom;University of Cambridge;no
Sophie Wilson;1957;United Kingdom;University of Cambridge;no
Michael P. Taylor;1968;United Kingdom;University of Portsmouth;no
Alan Lindsay Mackay;1926;United Kingdom;Birkbeck, University of London;no
Edward Thomas Hall;1924;United Kingdom;New College, Oxford;no
Alan Lindsay Mackay;1926;United Kingdom;Oundle School;no
Antony Jameson;1934;United Kingdom;Trinity Hall, Cambridge;no
Lawrence Paul Horwitz;1930;United States;Columbia University;no
Elman Service;1915;United States;Columbia University;no
Howard Zinn;1922;United States;Columbia University;no
Robert A. Millikan;1868;United States;Columbia University;no
Robert Carhart Merton;1944;United States;Columbia University;no
George W. Snedecor;1881;United States;University of Michigan;no
Elman Service;1915;United States;University of Michigan;no
Lawrence Paul Horwitz;1930;United States;Harvard University;no
Julian Cecil Stanley;1918;United States;Harvard University;no
Solon Toothaker Kimball;1909;United States;Harvard University;no
Frederic M. Richards;1925;United States;Harvard University;no
Robert O. Mendelsohn;1952;United States;Harvard University;no
Robert Thomas Moore;1882;United States;Harvard University;no
Alexander Theodore Shulgin;1925;United States;Harvard University;no
Frank Drake;1930;United States;Harvard University;no
Norbert Wiener;1894;United States;Harvard University;no
Persi Diaconis;1945;United States;Harvard University;no
Ivan Edward Sutherland;1938;United States;Carnegie Institute of Technology;no
Emanuel Parzen;1929;United States;Harvard College;no
Howard Zinn;1922;United States;New York University;no
Mark Hersam;1975;United States;University of Cambridge;no
Mary Fanett Wheeler;1938;United States;Bachelor of Arts;no
Mary Fanett Wheeler;1938;United States;Master of Arts;no
Boyd Haley;1940;United States;Franklin College (Indiana);no
Julian Cecil Stanley;1918;United States;Georgia Southern University;no
Joe Bastardi;1955;United States;Pennsylvania State University;no
Mary Fanett Wheeler;1938;United States;University of Texas at Austin;no
Boyd Haley;1940;United States;Washington State University;no
Michael C. Jensen;1939;United States;Macalester College;no
Paul Flory;1910;United States;Manchester University (Indiana);no
Jean Berko Gleason;1931;United States;Radcliffe College;no
Lee Willerman;1939;United States;Wayne State University;no
Frank Watson Dyson;1868;Leicestershire;Trinity College, Cambridge;no
William Thomas Tutte;1917;Suffolk;Trinity College, Cambridge;no
Fiona Juliet Stanley;1946;Australia;University of London;no
Sir Grafton Elliot Smith;1871;Australia;University of Sydney;no
John Job Crew Bradfield;1867;Australia;University of Sydney;no
Fiona Juliet Stanley;1946;Australia;London School of Hygiene & Tropical Medicine;no
Karl H. Pribram;1919;Austria;University of Chicago;no
Hsue-shen Qian;1911;China;California Institute of Technology;no
Hsue-shen Qian;1911;China;Massachusetts Institute of Technology;no
Shing-Tung Yau;1949;China;University of California, Berkeley;no
Kollagunta Gopalaiyer Ramanathan;1920;India;Princeton University;no
Gregorio Ricci-Curbastro;1853;Italy;Scuola Normale Superiore di Pisa;no
Juris Hartmanis;1928;Latvia;California Institute of Technology;no
Martinus Beijerinck;1851;Netherlands;Leiden University;no
Jacobus Cornelius Kapteyn;1851;Netherlands;Utrecht University;no
Abraham (Bram) Pais;1918;Netherlands;Utrecht University;no
Walther Nernst;1864;Poland;University of Graz;no
Oskar Klein;1894;Sweden;Stockholm University;no
Carl-Gustaf Rossby;1898;Sweden;Stockholm University;no
V. Walfrid Ekman;1874;Sweden;Uppsala University;no
Anthony Giddens;1938;United Kingdom;London School of Economics;no
Charles Algernon Parsons;1854;United Kingdom;St John's College, Cambridge;no
Elihu Thomson;1853;United Kingdom;Tufts University;no
Peter Mansfield;1933;United Kingdom;University of London;no
William Thomas Tutte;1917;United Kingdom;Trinity College, Cambridge;no
Frank Watson Dyson;1868;United Kingdom;Trinity College, Cambridge;no
Elihu Thomson;1853;United Kingdom;Yale University;no
Charles R Drew;1904;United States;Amherst College;no
Grote Reber;1911;United States;Illinois Institute of Technology;no
Wes Jackson;1936;United States;North Carolina State University;no
Lewis Roberts Binford;1931;United States;University of North Carolina at Chapel Hill;no
David Bohm;1917;United States;California Institute of Technology;no
Edwin McMillan;1907;United States;California Institute of Technology;no
Gertrude Elion;1918;United States;Hunter College;no
Steven Brams;1940;United States;Massachusetts Institute of Technology;no
Charles Greeley Abbot;1872;United States;Massachusetts Institute of Technology;no
Alan Harvey Guth;1947;United States;Massachusetts Institute of Technology;no
Charles Stark Draper;1901;United States;Massachusetts Institute of Technology;no
Solomon Kullback;1907;United States;Mathematics;no
Dana Stewart Scott;1932;United States;Princeton University;no
Edwin McMillan;1907;United States;Princeton University;no
Richard E. Stearns;1936;United States;Princeton University;no
Walter Alvarez;1940;United States;Princeton University;no
Harry Hess;1906;United States;Princeton University;no
Dudley R. Herschback;1932;United States;Stanford University;no
Charles Stark Draper;1901;United States;Stanford University;no
Stanley Miller;1930;United States;University of California, Berkeley;no
Dana Stewart Scott;1932;United States;University of California, Berkeley;no
David Bohm;1917;United States;University of California, Berkeley;no
Herbert York;1921;United States;University of California, Berkeley;no
Donald Johanson;1943;United States;University of Chicago;no
Isadore Singer;1924;United States;University of Chicago;no
Saunders Mac Lane;1909;United States;University of Chicago;no
Robert S. Shankland;1908;United States;University of Chicago;no
Michael Behe;1952;United States;University of Pennsylvania;no
Charles Bachman;1924;United States;University of Pennsylvania;no
Herbert York;1921;United States;University of Rochester;no
Martha Chase;1927;United States;University of Southern California;no
Edwin Catmull;1945;United States;University of Utah;no
Saunders Mac Lane;1909;United States;Yale University;no
Gerard Kitchen O'Neill;1927;United States;Cornell University;no
Frank Press;1924;United States;City College of New York;no
Solomon Kullback;1907;United States;City College of New York;no
Abraham Sinkov;1907;United States;City College of New York;no
Charles R Drew;1904;United States;Columbia University;no
Marshall Sahlins;1930;United States;Columbia University;no
Rashid Alievich Sunyaev;1943;Uzbekistan;Moscow State University;no
Edmund Brisco Ford;1901;Cumbria;University of Oxford;no
Bernard Lovell;1913;England;University of Bristol;no
James Hopwood Jeans;1877;England;University of Cambridge;no
James Hopwood Jeans;1877;England;Merchant Taylors' School, Northwood;no
John Robert Vane;1927;England;St Catherine's College, Oxford;no
