Frits Zernike;University of Amsterdam
Val Logsdon Fitch;Columbia University
Val Logsdon Fitch;McGill University
Wolfgang Ketterle;Max Planck Institute of Quantum Optics
Wolfgang Ketterle;Heidelberg University
Wolfgang Ketterle;Ludwig Maximilian University of Munich
Vladimir Prelog;Czech Technical University in Prague
Melvin Schwartz;Columbia University
Harold E. Varmus;Amherst College
Harold E. Varmus;Harvard University
Harold E. Varmus;Columbia University College of Physicians and Surgeons
Carl Bosch;Technical University of Berlin
Heike Kamerlingh Onnes;University of Groningen
Heike Kamerlingh Onnes;Heidelberg University
Martin Rodbell;Johns Hopkins University
Martin Rodbell;University of Washington
Richard E. Taylor;Stanford University
Richard E. Taylor;University of Alberta
John C. Polanyi;University of Manchester
Cecil Frank Powell;University of Cambridge
Stanley Cohen;Oberlin College
Stanley Cohen;University of Michigan
Stanley Cohen;Brooklyn College
Herbert C. Brown;University of Chicago
Edgar Douglas Adrian;University of Cambridge
Vitaly L. Ginzburg;Moscow State University
Julian Schwinger;City College of New York
Julian Schwinger;Columbia University
Patrick White;University of Cambridge
John R. Hicks;Balliol College, Oxford
Sidney Altman;Massachusetts Institute of Technology
Sidney Altman;University of Colorado Boulder
Gerhard Domagk;University of Kiel
Tomas Lindahl;Karolinska Institutet
Susumu Tonegawa;University of California, San Diego
Susumu Tonegawa;Kyoto University
Susumu Tonegawa;Salk Institute for Biological Studies
Richard F. Heck;University of California, Los Angeles
Edward B. Lewis;California Institute of Technology
Edward B. Lewis;University of Minnesota
Julius Wagner-Jauregg;University of Vienna
Joshua Lederberg;Yale University
Joshua Lederberg;Columbia University
Joshua Lederberg;Stuyvesant High School
Linus Carl Pauling;California Institute of Technology
Linus Carl Pauling;Oregon State University
Aage Niels Bohr;University of Copenhagen
Johann Deisenhofer;Max Planck Institute of Biochemistry
Elias James Corey;Massachusetts Institute of Technology
Paul Krugman;Massachusetts Institute of Technology
Paul Krugman;Yale University
Leonid Hurwicz;London School of Economics
Leonid Hurwicz;Graduate Institute of International and Development Studies
Leonid Hurwicz;University of Warsaw
Hans Fischer;University of Marburg
Hans Fischer;University of Lausanne
Wangari Muta Maathai;Benedictine College
Charles Glover Barkla;University of Cambridge
Charles Glover Barkla;University of Liverpool
Alfred Werner;ETH Zurich
Alfred Werner;University of Zurich
George Porter;University of Leeds
Dale T. Mortensen;Carnegie Mellon University
Dale T. Mortensen;Willamette University
Sydney Brenner;University of California, Berkeley
Sydney Brenner;University of Oxford
Sydney Brenner;University of the Witwatersrand
Arno Allan Penzias;City College of New York
Arno Allan Penzias;Columbia University
James Watson Cronin;University of Chicago
James Watson Cronin;Southern Methodist University
Trygve Haavelmo;University College London
Trygve Haavelmo;University of Oslo
Youyou Tu;Peking University Health Science Center
Hideki Yukawa;Kyoto University
Alexei A. Abrikosov;Moscow State University
Alexei A. Abrikosov;Russian Academy of Sciences
Jules A. Hoffmann;University of Strasbourg
Pavel Alekseyevich Cherenkov;Voronezh State University
Sheldon Lee Glashow;Cornell University
Sheldon Lee Glashow;Harvard University
Nicolaas Bloembergen;Leiden University
Nicolaas Bloembergen;Utrecht University
Donald J. Cram;Harvard University
Donald J. Cram;Rollins College
Leland H. Hartwell;California Institute of Technology
Leland H. Hartwell;Massachusetts Institute of Technology
Ernest Rutherford;University of Canterbury
Ernest Rutherford;University of Cambridge
Arthur B. McDonald;California Institute of Technology
Arthur B. McDonald;Dalhousie University
Martin Karplus;California Institute of Technology
Martin Karplus;Harvard University
Arthur Holly Compton;Princeton University
George Bernard Shaw;Wesley College (Dublin)
Hendrik Antoon Lorentz;Leiden University
Richard Stone;University of Cambridge
Baruch S. Blumberg;Columbia University College of Physicians and Surgeons
Baruch S. Blumberg;Balliol College, Oxford
Baruch S. Blumberg;Union College
Francis William Aston;University of Cambridge
Francis William Aston;University of Birmingham
Karl Ferdinand Braun;University of Marburg
Karl Ferdinand Braun;Humboldt University of Berlin
Baruj Benacerraf;VCU Medical Center
Baruj Benacerraf;Columbia University
Friedrich Bergius;Leipzig University
Albrecht Kossel;University of Strasbourg
Albrecht Kossel;University of Rostock
Percy Williams Bridgman;Harvard University
H. David Politzer;University of Michigan
H. David Politzer;Harvard University
Rita Levi-Montalcini;University of Turin
Georg Wittig;University of Marburg
Charles Hard Townes;Duke University
Charles Hard Townes;California Institute of Technology
Charles Hard Townes;Furman University
Aleksandr Isayevich Solzhenitsyn;Southern Federal University
Maurice Allais;Mines ParisTech
Artturi Ilmari Virtanen;University of Helsinki
Glenn Theodore Seaborg;University of California, Los Angeles
Martin Chalfie;Harvard University
Steven Chu;University of California, Berkeley
Steven Chu;University of Rochester
Joseph Rotblat;University of Liverpool
Joseph Rotblat;University of Warsaw
Joseph Rotblat;Free Polish University
Willem Einthoven;Utrecht University
Otto Stern;Goethe University Frankfurt
Mohamed ElBaradei;Graduate Institute of International and Development Studies
Mohamed ElBaradei;New York University School of Law
Mohamed ElBaradei;Cairo University
Wassily Leontief;Humboldt University of Berlin
Wassily Leontief;Saint Petersburg State University
Otto Loewi;University of Strasbourg
Wilhelm Ostwald;University of Tartu
Heinrich Otto Wieland;Ludwig Maximilian University of Munich
Geoffrey Wilkinson;Imperial College London
Andrei Dmitrievich Sakharov;Moscow State University
Jack W. Szostak;Cornell University
Jack W. Szostak;McGill University
Robert Burns Woodward;Massachusetts Institute of Technology
Akira Suzuki;Purdue University
Akira Suzuki;Hokkaido University
Reinhard Selten;Goethe University Frankfurt
Robert Woodrow Wilson;California Institute of Technology
Robert Woodrow Wilson;Rice University
Arthur Kornberg;University of Rochester
Pieter Zeeman;Leiden University
Archer John Porter Martin;Peterhouse, Cambridge
Richard J. Roberts;University of Sheffield
Arthur Harden;University of Manchester
Arthur Harden;University of Erlangen-Nuremberg
Brian David Josephson;University of Cambridge
Mario J. Molina;National Autonomous University of Mexico
Mario J. Molina;University of Freiburg
Gerd Binnig;Goethe University Frankfurt
Abdus Salam;St John's College, Cambridge
Abdus Salam;Government College University (Lahore)
Abdus Salam;University of the Punjab
Hideki Shirakawa;Tokyo Institute of Technology
Elinor Ostrom;University of California, Los Angeles
Hiroshi Amano;Nagoya University
Jan Tinbergen;Leiden University
Christian Matthias Theodor Mommsen;University of Kiel
Walter Rudolf Hess;University of Zurich
Frederick Soddy;Aberystwyth University
Frederick Soddy;Merton College, Oxford
Edward Mills Purcell;Purdue University
Edward Mills Purcell;Harvard University
Michael Levitt;King's College London
Michael Levitt;University of Cambridge
Lars Peter Hansen;University of Minnesota
Lars Peter Hansen;Utah State University
Franco Modigliani;The New School
Philip Warren Anderson;United States Naval Research Laboratory
Philip Warren Anderson;Harvard University
Fritz Pregl;University of Graz
Saul Perlmutter;University of California, Berkeley
Saul Perlmutter;Harvard University
Daniel Nathans;Washington University in St. Louis
Daniel Nathans;University of Delaware
Thomas Stearns Eliot;Harvard University
Thomas Stearns Eliot;Merton College, Oxford
William Alfred Fowler;California Institute of Technology
Paul Karrer;University of Zurich
John Bardeen;Princeton University
Charles Louis Alphonse Laveran;University of Strasbourg
Shirin Ebadi;University of Tehran
Frank Wilczek;Princeton University
Frank Wilczek;University of Chicago
Frank Wilczek;Doctor of Philosophy
Har Gobind Khorana;University of Liverpool
Har Gobind Khorana;University of the Punjab
Michael Smith;University of Manchester
Edwin G. Krebs;Washington University in St. Louis
Ivar Giaever;Norwegian University of Science and Technology
Ivar Giaever;Rensselaer Polytechnic Institute
Jean Tirole;Massachusetts Institute of Technology
Jean Tirole;Paris Dauphine University
Wilhelm Wien;Humboldt University of Berlin
Joseph L. Goldstein;University of Texas Southwestern Medical Center
Joseph L. Goldstein;Washington and Lee University
Albert Einstein;ETH Zurich
Albert Einstein;University of Zurich
John James Rickard Macleod;University of Aberdeen
Roger Y. Tsien;Harvard University
