Arthur Leonard Schawlow;1921;usa;toronto;yes
David Baltimore;1938;usa;rockefeller;yes
David Baltimore;1938;usa;swarthmore;yes
Hans Adolf Krebs;1900;germany;hamburg;yes
Hans Adolf Krebs;1900;germany;humboldtberlin;yes
Hans Adolf Krebs;1900;germany;freiburg;yes
John Bardeen;1908;usa;princeton;yes
Alexei A. Abrikosov;1928;ussr;moscow;yes
Alexei A. Abrikosov;1928;ussr;russianacademysciences;yes
Carl David Anderson;1905;usa;californiainstitutetechnology;yes
Carl David Anderson;1905;usa;doctorphilosophy;yes
Hideki Shirakawa;1936;japan;tokyoinstitutetechnology;yes
Otto Loewi;1873;germany;strasbourg;yes
Ferid Murad;1936;usa;casewesternreserveschoolmedicine;yes
Ferid Murad;1936;usa;depauw;yes
Kurt Alder;1902;prussia;kiel;yes
Kurt Alder;1902;prussia;humboldtberlin;yes
Otto Stern;1888;germany;goethefrankfurt;yes
John B. Fenn;1917;usa;berea;yes
John B. Fenn;1917;usa;yale;yes
John C. Polanyi;1929;germany;manchester;yes
Joseph John Thomson;1856;united kingdom;manchester;yes
Joseph John Thomson;1856;united kingdom;cambridge;yes
Niels Henrik David Bohr;1885;denmark;copenhagen;yes
Leo James Rainwater;1917;usa;californiainstitutetechnology;yes
Leo James Rainwater;1917;usa;columbia;yes
Fritz Pregl;1869;austria-hungary;graz;yes
Odd Hassel;1897;norway;oslo;yes
Peter A. Diamond;1940;usa;massachusettsinstitutetechnology;yes
Peter A. Diamond;1940;usa;yale;yes
James Tobin;1918;usa;harvard;yes
Andrei Dmitrievich Sakharov;1921;russia;moscow;no
Paul Karrer;1889;russia;zurich;yes
Antony Hewish;1924;united kingdom;kingstaunton;yes
Antony Hewish;1924;united kingdom;cavendishlaboratory;yes
Antony Hewish;1924;united kingdom;gonvilleandcaiuscambridge;yes
H. David Politzer;1949;usa;michigan;yes
H. David Politzer;1949;usa;harvard;yes
David J. Wineland;1944;usa;californiaberkeley;yes
David J. Wineland;1944;usa;washington;yes
David J. Wineland;1944;usa;harvard;yes
Susumu Tonegawa;1939;japan;californiasandiego;yes
Susumu Tonegawa;1939;japan;kyoto;yes
Susumu Tonegawa;1939;japan;salkinstituteforbiologicalstudies;yes
Werner Forssmann;1904;germany;humboldtberlin;yes
Frederick Chapman Robbins;1916;usa;missouri;yes
Frederick Chapman Robbins;1916;usa;harvard;yes
Toshihide Maskawa;1940;japan;nagoya;yes
Julius Wagner-Jauregg;1857;austria;vienna;yes
Richard J. Roberts;1943;united kingdom;sheffield;yes
Wendell Meredith Stanley;1904;usa;earlham;yes
Paul Berg;1926;usa;casewesternreserve;yes
Paul Berg;1926;usa;pennsylvania;yes
Richard E. Taylor;1929;canada;stanford;yes
Richard E. Taylor;1929;canada;alberta;yes
Robert W. Holley;1922;usa;cornell;yes
Owen Chamberlain;1920;usa;dartmouth;yes
Owen Chamberlain;1920;usa;californiaberkeley;yes
Owen Chamberlain;1920;usa;chicago;yes
Gerhard Domagk;1895;germany;kiel;yes
Brian P. Schmidt;1967;usa;arizona;yes
Brian P. Schmidt;1967;usa;harvard;yes
Irving Langmuir;1881;usa;columbia;yes
Eric F. Wieschaus;1947;usa;yale;yes
Eric F. Wieschaus;1947;usa;notredame;yes
Isidor Isaac Rabi;1898;austria-hungary;cornell;yes
Isidor Isaac Rabi;1898;austria-hungary;columbia;yes
Edgar Douglas Adrian;1889;united kingdom;cambridge;yes
Arthur Kornberg;1918;usa;rochester;yes
George Porter;1920;united kingdom;leeds;yes
Willem Einthoven;1860;java, dutch east indies;utrecht;yes
Lev Davidovich Landau;1908;russian empire;baku;yes
Lev Davidovich Landau;1908;russian empire;ioffeinstitute;yes
Lev Davidovich Landau;1908;russian empire;saintpetersburg;yes
Saul Perlmutter;1959;united states;californiaberkeley;no
Saul Perlmutter;1959;united states;harvard;no
Jerome Karle;1918;usa;citynewyork;yes
Jerome Karle;1918;usa;michigan;yes
Jerome Karle;1918;usa;harvard;yes
Karl Landsteiner;1868;austrian empire;vienna;yes
Jules A. Hoffmann;1941;luxembourg;strasbourg;no
Gerd Binnig;1947;west germany;goethefrankfurt;yes
Walter Kohn;1923;austria;toronto;yes
Walter Kohn;1923;austria;harvard;yes
Richard F. Heck;1931;usa;californialosangeles;yes
Clinton Joseph Davisson;1881;usa;princeton;yes
Clinton Joseph Davisson;1881;usa;chicago;yes
Daniel Nathans;1928;usa;washingtoninstlouis;yes
Daniel Nathans;1928;usa;delaware;yes
Dale T. Mortensen;1939;usa;carnegiemellon;yes
Dale T. Mortensen;1939;usa;willamette;yes
Harold E. Varmus;1939;usa;amherst;yes
Harold E. Varmus;1939;usa;harvard;yes
Harold E. Varmus;1939;usa;columbiaphysiciansandsurgeons;yes
Paul Krugman;1953;usa;massachusettsinstitutetechnology;yes
Paul Krugman;1953;usa;yale;yes
Robert Woodrow Wilson;1936;usa;californiainstitutetechnology;yes
Robert Woodrow Wilson;1936;usa;rice;yes
Akira Suzuki;1930;japan;purdue;yes
Akira Suzuki;1930;japan;hokkaido;yes
Jean Tirole;1953;france;massachusettsinstitutetechnology;yes
Jean Tirole;1953;france;parisdauphine;yes
Aaron Klug;1926;lithuania;trinitycambridge;yes
Richard Stone;1913;united kingdom;cambridge;yes
Albert Einstein;1879;germany;ethzurich;yes
Albert Einstein;1879;germany;zurich;yes
Richard Axel;1946;usa;johnshopkinsschoolmedicine;yes
Richard Axel;1946;usa;columbia;yes
Richard Axel;1946;usa;stuyvesanthighschool;yes
Frits Zernike;1888;the netherlands;amsterdam;yes
John Cowdery Kendrew;1917;united kingdom;cambridge;yes
Felix Bloch;1905;switzerland;ethzurich;yes
Felix Bloch;1905;switzerland;leipzig;yes
Melvin Schwartz;1932;usa;columbia;yes
Archer John Porter Martin;1910;united kingdom;peterhousecambridge;yes
Michael Levitt;1947;south africa;kingslondon;yes
Michael Levitt;1947;south africa;cambridge;yes
Steven Weinberg;1933;usa;princeton;yes
Steven Weinberg;1933;usa;cornell;yes
Elias James Corey;1928;usa;massachusettsinstitutetechnology;yes
Hermann Emil Fischer;1852;prussia;bonn;yes
Hermann Emil Fischer;1852;prussia;strasbourg;yes
John R. Hicks;1904;united kingdom;ballioloxford;yes
David H. Hubel;1926;canada;mcgill;yes
Edward Calvin Kendall;1886;usa;columbia;yes
George E. Smith;1930;usa;chicago;yes
George E. Smith;1930;usa;pennsylvania;yes
Makoto Kobayashi;1944;japan;nagoya;yes
Maurice Allais;1911;france;minesparistech;yes
Martin Chalfie;1947;usa;harvard;yes
John James Rickard Macleod;1876;scotland;aberdeen;yes
Johannes Stark;1874;germany;ludwigmaximilianmunich;yes
Thomas A. Steitz;1940;usa;harvard;yes
Thomas A. Steitz;1940;usa;lawrence;yes
Thomas A. Steitz;1940;usa;wauwatosaeasthighschool;yes
Sidney Altman;1939;canada;massachusettsinstitutetechnology;yes
Sidney Altman;1939;canada;coloradoboulder;yes
Oliver Smithies;1925;united kingdom;oxford;yes
Oliver Smithies;1925;united kingdom;ballioloxford;yes
Julius Axelrod;1912;usa;citynewyork;yes
Julius Axelrod;1912;usa;georgewashingtonmedicalschool;yes
Owen Willans Richardson;1879;united kingdom;london;yes
Owen Willans Richardson;1879;united kingdom;cambridge;yes
Leonid Hurwicz;1917;russia;londonschooleconomics;yes
Leonid Hurwicz;1917;russia;graduateinstituteinternationalanddevelopmentstudies;yes
Leonid Hurwicz;1917;russia;warsaw;yes
James Dewey Watson;1928;usa;chicago;yes
James Dewey Watson;1928;usa;indiana;yes
Victor Grignard;1871;france;lyon;yes
Walther Bothe;1891;germany;humboldtberlin;yes
Jack W. Szostak;1952;united kingdom;cornell;yes
Jack W. Szostak;1952;united kingdom;mcgill;yes
Melvin Calvin;1911;usa;michigantechnological;yes
Melvin Calvin;1911;usa;minnesota;yes
Ernst Boris Chain;1906;germany;humboldtberlin;yes
